Customers[Customer Key],Customers[Customer Name],Customers[Birth Date],Customers[Marital Status],Customers[Gender],Customers[Yearly Income],Customers[Total Children],Customers[Number of Children at Home],Customers[Education],Occupation,House Owner,Number of Cars Owned,Customer Type,Country,State
8760,"Barnes, Sydney",04-06-1976,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
8779,"Jones, Isabella",8-16-1975,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
9412,"James, Cole",06-05-1977,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
9414,"Powell, Taylor",05-06-1976,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
9415,"Bailey, Amanda",11-23-1976,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
9423,"Brooks, Maria",8-17-1980,S,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
9436,"Green, Natalie",11-26-1975,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
9439,"Scott, Robert",12-22-1975,S,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
10283,"Smith, Julia",03-10-1978,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
10369,"Collins, Mason",9-26-1977,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
10399,"Diaz, Ethan",3-25-1975,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
10400,"Hughes, Ian",11-25-1975,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
11153,"King, Marcus",2-18-1978,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
11163,"Yuan, Brad",04-11-1977,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
11164,"Scott, Morgan",07-01-1977,S,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
11185,"Carter, Jeremy",7-27-1975,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
11186,"Henderson, Connor",06-02-1975,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
12081,"Barnes, Jocelyn",03-09-1978,S,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
12319,"Morgan, Patrick",10-03-1978,S,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
12338,"Green, Isaiah",11-07-1975,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
12339,"Jenkins, Lucas",12-13-1973,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
13233,"Johnson, Ryan",2-17-1979,S,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
13239,"Richardson, Sean",09-07-1978,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
13240,"Hernandez, Miguel",11-27-1978,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
13262,"Jones, Emma",6-15-1977,S,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
13264,"Brooks, Brooke",8-15-1977,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
13290,"Gonzalez, Robert",12-16-1975,S,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
14917,"Serrano, Naomi",7-13-1978,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
15547,"Bennett, Miguel",6-26-1978,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
15558,"Morgan, Katelyn",7-13-1976,S,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
15577,"Robinson, Kaitlyn",01-10-1975,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
15578,"Edwards, Cindy",02-02-1975,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
15579,"White, Jeremy",10-25-1975,S,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
16468,"Coleman, Jackson",3-16-1978,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
16479,"Alvarez, Sheila",06-12-1977,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
17097,"Stewart, Alexandra",11-19-1978,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
17098,"Barnes, Jennifer",09-03-1978,S,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
17105,"Williams, Hannah",8-21-1977,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
17107,"Williams, Chloe",5-27-1977,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
17126,"Jackson, Dalton",9-22-1975,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
17127,"Johnson, Anna",01-12-1975,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
17128,"Price, Fernando",6-18-1975,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
18057,"Griffin, Angelica",03-05-1979,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
18060,"Perry, Jocelyn",6-20-1978,S,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
18071,"Simmons, Arianna",5-15-1978,S,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
18111,"Smith, Sydney",04-11-1973,S,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
54,"Price, Ana",8-20-1980,M,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
66,"Henderson, Jessica",10-09-1973,M,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
940,"Washington, Kevin",6-22-1977,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
2032,"Shan, Hunter",2-16-1977,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
2034,"Gonzalez, Xavier",11-20-1976,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
2993,"Xie, Gregory",06-06-1978,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
3018,"Rodriguez, Chloe",11-22-1980,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
3025,"Moore, Hannah",12-23-1975,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
3271,"Ross, James",1-25-1975,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
3274,"Parker, Angel",05-05-1973,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
3853,"Gonzalez, Adam",11-13-1978,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
4006,"Cooper, Adrian",9-20-1978,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
4014,"Campbell, Julia",11-13-1976,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
4434,"Sharma, Adam",8-18-1978,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
5338,"White, Jose",07-06-1977,M,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
5921,"Stewart, Eduardo",1-17-1979,M,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
5925,"Price, Julia",11-05-1978,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
5926,"Patterson, Spencer",7-21-1978,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
6490,"Evans, Jack",11-21-1977,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
6491,"Moore, Grace",09-08-1977,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
7362,"Simmons, Marcus",12-26-1979,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
7367,"Richardson, Alexandria",5-25-1978,M,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
7456,"Wu, Alejandro",9-25-1977,M,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
7457,"Bailey, Timothy",09-05-1977,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
7478,"Hughes, Angelica",08-10-1973,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
7894,"White, Devin",6-15-1977,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
7921,"Young, Jonathan",5-19-1973,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
8671,"Gutierrez, Erik",3-16-1978,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
8759,"Wright, Alex",12-25-1976,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
8761,"Russell, Sydney",05-02-1976,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
8778,"Thomas, Jonathan",5-19-1975,M,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
9435,"Sharma, Nathan",10-13-1975,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
9437,"Barnes, Anna",4-26-1975,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
9438,"Howard, Gabriella",10-12-1975,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
9440,"Rogers, Chloe",04-04-1973,M,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
9441,"Hughes, Alexandra",5-26-1973,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
10282,"Hill, Andrea",2-27-1978,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
11062,"Goel, Jenny",9-20-1978,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
11063,"Flores, Cameron",4-28-1978,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
11166,"Perez, Aaron",11-01-1976,M,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
11187,"Foster, Jonathan",10-04-1975,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
12092,"Peterson, Richard",02-06-1977,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
12111,"Gonzalez, Mackenzie",9-26-1975,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
12112,"Wright, Sara",1-17-1975,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
13263,"Thomas, Daniel",3-16-1977,M,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
13296,"Barnes, Natalie",3-26-1973,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
14009,"Perry, Haley",5-20-1978,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
14015,"Reed, Juan",8-16-1978,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
14045,"Bailey, Emma",08-10-1975,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
14918,"Long, Kyle",3-25-1978,M,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
14934,"Stewart, Dalton",06-05-1977,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
14943,"Brooks, Brianna",1-17-1980,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
14955,"Carter, Noah",08-10-1975,M,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
14956,"Robinson, Anna",5-16-1975,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
15546,"Ross, Taylor",01-08-1978,M,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
15555,"Garcia, Michael",5-16-1977,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
16469,"Powell, Robert",10-12-1978,M,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
16480,"Sanders, Kaitlyn",03-11-1977,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
16509,"Edwards, James",02-10-1973,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
17106,"Garcia, Hannah",11-23-1977,M,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
18059,"Reed, Olivia",01-03-1978,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
18061,"Washington, David",04-01-1978,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
18077,"Miller, Megan",03-04-1977,S,F,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
18080,"Rogers, Brian",06-07-1976,M,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
18109,"Evans, Seth",6-22-1975,S,M,60000,0,0,Partial College,Skilled Manual,0,2,Person,United States,California
963,"Roberts, Alexandra",11-28-1976,S,F,60000,0,0,Partial College,Professional,0,2,Person,United States,California
975,"Sun, Randy",02-07-1974,S,M,60000,0,0,Partial College,Professional,0,2,Person,United States,California
2074,"Lopez, Sydney",01-12-1976,M,F,60000,0,0,Partial College,Professional,1,2,Person,United States,California
2075,"Hughes, Grace",09-12-1976,M,F,60000,0,0,Partial College,Professional,1,2,Person,United States,California
3038,"Sara, Lydia",4-22-1974,M,F,60000,0,0,Partial College,Professional,1,2,Person,United States,California
3286,"Hughes, Taylor",12-04-1974,S,F,60000,0,0,Partial College,Professional,0,2,Person,United States,California
4191,"Watson, Katherine",8-19-1974,S,F,60000,0,0,Partial College,Professional,0,2,Person,United States,California
5656,"Taylor, Destiny",3-26-1976,M,F,60000,0,0,Partial College,Professional,1,2,Person,United States,California
5674,"Guo, Curtis",05-08-1974,S,M,60000,0,0,Partial College,Professional,0,2,Person,United States,California
6508,"Robinson, Alexis",8-15-1973,M,F,60000,0,0,Partial College,Professional,1,2,Person,United States,California
6521,"Baker, Marcus",09-03-1974,S,M,60000,0,0,Partial College,Professional,1,2,Person,United States,California
8806,"Butler, Mariah",08-06-1974,S,F,60000,0,0,Partial College,Professional,0,2,Person,United States,California
8807,"Perez, Nancy",2-22-1974,S,F,60000,0,0,Partial College,Professional,1,2,Person,United States,California
9444,"Cox, Adrian",04-08-1976,S,M,60000,0,0,Partial College,Professional,0,2,Person,United States,California
9450,"Walker, Rachel",04-07-1976,S,F,60000,0,0,Partial College,Professional,0,2,Person,United States,California
9459,"Subram, Erick",11-14-1974,M,M,60000,0,0,Partial College,Professional,1,2,Person,United States,California
10417,"Butler, Ryan",4-18-1974,S,M,60000,0,0,Partial College,Professional,0,2,Person,United States,California
10418,"Torres, Gabrielle",07-04-1974,S,F,60000,0,0,Partial College,Professional,0,2,Person,United States,California
11191,"Richardson, Carlos",2-18-1976,S,M,60000,0,0,Partial College,Professional,0,2,Person,United States,California
12116,"Nicholls, Stephanie",7-17-1976,S,F,60000,0,0,Partial College,Professional,1,2,Person,United States,California
12127,"Van, Carolyn",06-07-1974,M,F,60000,0,0,Partial College,Professional,0,2,Person,United States,California
12355,"Gomez, Eddie",7-22-1974,S,M,60000,0,0,Partial College,Professional,1,2,Person,United States,California
12356,"Serrano, Lance",7-18-1974,S,M,60000,0,0,Partial College,Professional,0,2,Person,United States,California
12357,"Ward, Grace",09-10-1974,S,F,60000,0,0,Partial College,Professional,0,2,Person,United States,California
12358,"Yang, Micah",05-05-1974,S,M,60000,0,0,Partial College,Professional,1,2,Person,United States,California
13298,"Cox, Victoria",10-09-1976,M,F,60000,0,0,Partial College,Professional,1,2,Person,United States,California
13299,"Yang, Robert",10-07-1976,M,M,60000,0,0,Partial College,Professional,1,2,Person,United States,California
13300,"Gray, Andrea",06-03-1976,S,F,60000,0,0,Partial College,Professional,1,2,Person,United States,California
14048,"Long, Trevor",11-10-1973,M,M,60000,0,0,Partial College,Professional,1,2,Person,United States,California
14958,"Washington, Stephanie",07-10-1976,M,F,60000,0,0,Partial College,Professional,0,2,Person,United States,California
14960,"Hall, Katherine",11-10-1976,S,F,60000,0,0,Partial College,Professional,0,2,Person,United States,California
15584,"Patterson, James",8-13-1976,S,M,60000,0,0,Partial College,Professional,0,2,Person,United States,California
16511,"Bailey, Cole",10-03-1976,S,M,60000,0,0,Partial College,Professional,0,2,Person,United States,California
16527,"Ma, Ramon",12-10-1974,M,M,60000,0,0,Partial College,Professional,1,2,Person,United States,California
17146,"Jones, Brandon",11-11-1974,S,M,60000,0,0,Partial College,Professional,0,2,Person,United States,California
18113,"Powell, Edward",6-24-1976,S,M,60000,0,0,Partial College,Professional,0,2,Person,United States,California
18127,"Cox, Chloe",9-26-1974,S,F,60000,0,0,Partial College,Professional,0,2,Person,United States,California
976,"Garcia, Destiny",10-04-1974,S,F,60000,0,0,High School,Professional,0,2,Person,United States,California
4192,"Kumar, Andres",8-19-1974,S,M,60000,0,0,High School,Professional,0,2,Person,United States,California
6522,"Jenkins, Destiny",6-24-1974,M,F,60000,0,0,High School,Professional,0,2,Person,United States,California
7503,"Madan, Pamela",10-04-1974,M,F,60000,0,0,High School,Professional,1,2,Person,United States,California
9460,"Barnes, Maria",10-07-1974,M,F,60000,0,0,High School,Professional,1,2,Person,United States,California
12128,"Hughes, Haley",09-09-1974,M,F,60000,0,0,High School,Professional,0,2,Person,United States,California
12359,"Alvarez, Alberto",04-11-1974,M,M,60000,0,0,High School,Professional,1,2,Person,United States,California
1192,"Washington, Melissa",04-10-1954,M,F,60000,2,0,Partial High School,Skilled Manual,1,2,Person,United States,California
2476,"Allen, Charles",05-05-1954,M,M,60000,2,0,Partial High School,Skilled Manual,1,2,Person,United States,California
2477,"Hall, Timothy",8-21-1954,M,M,60000,2,0,Partial High School,Skilled Manual,0,2,Person,United States,California
3488,"Hall, Seth",10-06-1954,M,M,60000,2,0,Partial High School,Skilled Manual,1,2,Person,United States,California
4401,"Roberts, Samuel",9-19-1954,M,M,60000,2,0,Partial High School,Skilled Manual,0,2,Person,United States,California
4402,"Hughes, Rachel",8-16-1954,S,F,60000,2,0,Partial High School,Skilled Manual,1,2,Person,United States,California
4404,"Ross, Jeremiah",09-06-1954,M,M,60000,2,0,Partial High School,Skilled Manual,0,2,Person,United States,California
4987,"Sanchez, Dalton",09-11-1954,S,M,60000,2,0,Partial High School,Skilled Manual,1,2,Person,United States,California
5888,"Rivera, Cody",08-11-1954,M,M,60000,2,0,Partial High School,Skilled Manual,1,2,Person,United States,California
7857,"Green, Thomas",3-15-1954,M,M,60000,2,0,Partial High School,Skilled Manual,0,2,Person,United States,California
7859,"Parker, Miguel",05-05-1954,S,M,60000,2,0,Partial High School,Skilled Manual,1,2,Person,United States,California
9372,"Bryant, Grace",2-17-1954,M,F,60000,2,0,Partial High School,Skilled Manual,1,2,Person,United States,California
9375,"Adams, Fernando",6-15-1954,M,M,60000,2,0,Partial High School,Skilled Manual,0,2,Person,United States,California
10330,"Brown, Wyatt",01-02-1954,M,M,60000,2,0,Partial High School,Skilled Manual,1,2,Person,United States,California
10331,"Clark, Isabella",10-04-1954,S,F,60000,2,0,Partial High School,Skilled Manual,1,2,Person,United States,California
11112,"King, Gabriella",11-10-1954,M,F,60000,2,0,Partial High School,Skilled Manual,0,2,Person,United States,California
13433,"Reed, Dalton",6-13-1954,M,M,60000,2,0,Partial High School,Skilled Manual,1,2,Person,United States,California
14199,"Ramirez, Michelle",05-09-1954,M,F,60000,2,0,Partial High School,Skilled Manual,1,2,Person,United States,California
17294,"Cox, Shelby",2-15-1954,S,F,60000,2,0,Partial High School,Skilled Manual,0,2,Person,United States,California
17295,"Jenkins, Alexis",08-04-1954,S,F,60000,2,0,Partial High School,Skilled Manual,1,2,Person,United States,California
86,"Johnson, Emily",7-19-1957,S,F,60000,2,0,High School,Professional,0,2,Person,United States,California
981,"Richardson, Kimberly",12-18-1957,S,F,60000,2,0,High School,Professional,0,2,Person,United States,California
983,"Foster, Alexandra",04-04-1957,S,F,60000,2,0,High School,Professional,1,2,Person,United States,California
1176,"Powell, Luke",9-13-1955,S,M,60000,2,0,High School,Professional,0,2,Person,United States,California
2095,"Diaz, Antonio",3-23-1957,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
2098,"Hughes, Dalton",5-14-1957,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
2303,"Torres, Cole",8-18-1955,S,M,60000,2,0,High School,Professional,1,2,Person,United States,California
2318,"Long, Jeremiah",09-09-1954,S,M,60000,2,0,High School,Professional,1,2,Person,United States,California
2460,"Foster, Devin",7-17-1955,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
3294,"Campbell, Kyle",2-15-1957,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
3295,"Gray, Steven",11-22-1957,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
3296,"Thomas, Hannah",7-14-1957,S,F,60000,2,0,High School,Professional,1,2,Person,United States,California
3475,"Murphy, Jacqueline",9-21-1955,M,F,60000,2,0,High School,Professional,0,2,Person,United States,California
4199,"Watson, Lauren",10-02-1957,M,F,60000,2,0,High School,Professional,0,2,Person,United States,California
4777,"Mitchell, Jesse",9-13-1957,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
6437,"Ramirez, Evan",07-08-1955,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
6438,"Baker, Natalie",6-19-1955,M,F,60000,2,0,High School,Professional,0,2,Person,United States,California
6533,"Patterson, Nathan",5-25-1956,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
7410,"Washington, Olivia",09-12-1955,M,F,60000,2,0,High School,Professional,0,2,Person,United States,California
7411,"Davis, Joshua",11-21-1955,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
7425,"Williams, Samuel",07-12-1954,S,M,60000,2,0,High School,Professional,1,2,Person,United States,California
7426,"Brooks, Garrett",9-14-1954,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
7506,"Scott, Carol",11-04-1957,M,F,60000,2,0,High School,Professional,0,2,Person,United States,California
7508,"Baker, Edward",7-13-1957,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
7510,"Foster, Xavier",4-16-1956,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
7511,"Washington, Samuel",2-26-1956,S,M,60000,2,0,High School,Professional,1,2,Person,United States,California
7834,"Baker, Morgan",03-03-1955,M,F,60000,2,0,High School,Professional,0,2,Person,United States,California
7836,"Coleman, Isabelle",4-14-1955,S,F,60000,2,0,High School,Professional,1,2,Person,United States,California
7946,"Cox, Marcus",6-23-1956,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
7947,"Simmons, Brandon",08-08-1956,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
8703,"Diaz, Edward",10-02-1955,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
8704,"Baker, Katelyn",10-02-1955,M,F,60000,2,0,High School,Professional,0,2,Person,United States,California
8811,"Long, Oscar",10-15-1957,S,M,60000,2,0,High School,Professional,1,2,Person,United States,California
8819,"Anderson, Brianna",1-18-1956,M,F,60000,2,0,High School,Professional,0,2,Person,United States,California
8820,"Brown, Andrew",05-12-1956,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
8821,"Coleman, Alexandra",03-03-1956,M,F,60000,2,0,High School,Professional,0,2,Person,United States,California
9350,"Harris, Nicole",12-12-1955,M,F,60000,2,0,High School,Professional,0,2,Person,United States,California
9464,"Bryant, Jasmine",8-26-1957,M,F,60000,2,0,High School,Professional,0,2,Person,United States,California
10304,"Jenkins, Sydney",8-14-1955,M,F,60000,2,0,High School,Professional,0,2,Person,United States,California
10425,"Alexander, Emily",09-04-1956,M,F,60000,2,0,High School,Professional,0,2,Person,United States,California
10426,"Hall, Carlos",6-27-1956,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
10427,"Raje, Jon",10-06-1956,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
11222,"Kumar, Benjamin",10-18-1957,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
11227,"Sanders, Morgan",10-24-1956,M,F,60000,2,0,High School,Professional,1,2,Person,United States,California
11228,"Cai, Barbara",5-21-1956,M,F,60000,2,0,High School,Professional,1,2,Person,United States,California
11230,"Perry, Wyatt",08-08-1956,M,M,60000,2,0,High School,Professional,0,2,Person,United States,California
